,title,author,publisher,page_count,generes,language
915,The Shadow Rising: Book Four of 'The Wheel of Time',Robert Jordan,Tor Books,704,"Fiction , Fantasy , Action &amp, Adventure",English
944,Shattered Bonds,Faith Hunter,Penguin,400,"Fiction , Fantasy , Contemporary",English
645,"The Painted Man (The Demon Cycle, Book 1)",Peter V. Brett,HarperCollins UK,544,"Fiction , Fantasy , Dark Fantasy",English
390,The Queen of Nothing (The Folk of the Air #3),Holly Black,Bonnier Zaffre Ltd.,448,"Fiction , Fantasy , Dark Fantasy",English
239,"Assassin’s Apprentice (The Farseer Trilogy, Book 1)",Robin Hobb,HarperCollins UK,400,"Fiction , Fantasy , Dragons &amp, Mythical Creatures",English
654,Sword of Destiny: Witcher 2: Tales of the Witcher,Andrzej Sapkowski,Hachette UK,400,"Fiction , Fantasy , Dragons &amp, Mythical Creatures",English
408,A Forge of Valor (Kings and Sorcerers--Book 4),Morgan Rice,Morgan Rice,250,"Fiction , Fantasy , Epic",English
483,A Game of Thrones: A Song of Ice and Fire: Book One,George R. R. Martin,Bantam,720,"Fiction , Fantasy , Epic",English
842,Crossroads of Twilight: Book Ten of 'The Wheel of Time',Robert Jordan,Tor Fantasy,704,"Fiction , Fantasy , Epic",English
31,Edgedancer: From the Stormlight Archive,Brandon Sanderson,Tor Books,226,"Fiction , Fantasy , Epic",English
0,"Mistborn Trilogy: The Final Empire, The Well of Ascension, The Hero of Ages",Brandon Sanderson,Tor Books,1712,"Fiction , Fantasy , Epic",English
1039,Night of the Bold (Kings and Sorcerers--Book 6),Morgan Rice,Morgan Rice,250,"Fiction , Fantasy , Epic",English
1089,"Shadowbred: The Twilight War, Book 1",Paul S. Kemp,Wizards of the Coast,352,"Fiction , Fantasy , Epic",English
557,The Daylight War: Book Three of The Demon Cycle,Peter V. Brett,Del Rey,656,"Fiction , Fantasy , Epic",English
1217,The Fires of Heaven: Book Five of 'The Wheel of Time',Robert Jordan,Tor Books,704,"Fiction , Fantasy , Epic",English
1230,The Vagrant (The Vagrant Trilogy),Peter Newman,HarperCollins UK,416,"Fiction , Fantasy , Epic",English
1117,The Burning White: Book Five of Lightbringer,Brent Weeks,Hachette UK,640,"Fiction , Fantasy , General",English
383,The Way Of Shadows: Book 1 of the Night Angel,Brent Weeks,Hachette UK,688,"Fiction , Fantasy , General",English
571,"The Name of the Wind: The Kingkiller Chronicle:, Book 1",Patrick Rothfuss,Hachette UK,672,"Fiction , Fantasy , Urban",English
720,War and Peace: With bonus material from Give War and Peace A Chance by Andrew D. Kaufman,Leo Tolstoy,Simon and Schuster,1400,"Fiction , General",English
1,It,Stephen King,Simon and Schuster,1168,"Fiction , Horror",English
1166,The Call of Cthulhu,H. P. Lovecraft,BookRix,49,"Fiction , Horror",English
787,Find Me: A Novel,André Aciman,"Farrar, Straus and Giroux",272,"Fiction , LGBT , Gay",English
233,Candide,Voltaire,Open Road Media,112,"Fiction , Literary",English
399,The Raven,Edgar Allan Poe,Simon and Schuster,32,"Fiction , Literary",English
841,God of War: The Official Novelization,J.M. Barlog,Titan Books,400,"Fiction , Media Tie-In",English
1277,Death in an Elegant City: An English Village Murder Mystery,Sara Rosett,Sara Rosett,254,"Fiction , Mystery & Detective , Amateur Sleuth",English
1214,A Trace of Crime (a Keri Locke Mystery--Book #4),Blake Pierce,Blake Pierce,250,"Fiction , Mystery & Detective , General",English
224,Antiques Con,Barbara Allan,Kensington Books,288,"Fiction , Mystery &amp, Detective , Amateur Sleuth",English
350,Her Royal Spyness,Rhys Bowen,Penguin,336,"Fiction , Mystery &amp, Detective , Amateur Sleuth",English
132,Killer Blonde,Laura Levine,Kensington Books,288,"Fiction , Mystery &amp, Detective , Amateur Sleuth",English
274,Antiques Knock-Off,Barbara Allan,Kensington Publishing Corp.,240,"Fiction , Mystery &amp, Detective , Cozy , General",English
815,Antiques Roadkill: A Trash 'n' Treasures Mystery,Barbara Allan,Kensington Publishing Corp.,288,"Fiction , Mystery &amp, Detective , Cozy , General",English
216,After Anna,Alex Lake,HarperCollins UK,416,"Fiction , Mystery &amp, Detective , General",English
956,Total Control,David Baldacci,Pan Macmillan,624,"Fiction , Mystery &amp, Detective , General",English
118,Watching (The Making of Riley Paige—Book 1),Blake Pierce,Blake Pierce,250,"Fiction , Mystery &amp, Detective , General",English
976,Gangster: A Novel,Lorenzo Carcaterra,Ballantine Books,384,"Fiction , Mystery &amp, Detective , Hard-Boiled",English
1135,Now or Never: A Novel,Elizabeth Adler,Island Books,448,"Fiction , Mystery &amp, Detective , Police Procedural",English
158,Antiques Chop,Barbara Allan,Kensington Books,240,"Fiction , Mystery &amp, Detective , Private Investigators",English
60,Eeny Meeny: DI Helen Grace 1,M. J. Arlidge,Penguin UK,464,"Fiction , Mystery &amp, Detective , Women Sleuths",English
569,Little Girl Lost: A Lucy Black Thriller,Brian McGilloway,Harper Collins,336,"Fiction , Mystery &amp, Detective , Women Sleuths",English
801,Mrs. Pollifax Unveiled,Dorothy Gilman,Ballantine Books,208,"Fiction , Mystery &amp, Detective , Women Sleuths",English
521,W is for Wasted: A Kinsey Millhone Novel,Sue Grafton,Penguin,448,"Fiction , Mystery &amp, Detective , Women Sleuths",English
339,Morning Star,Pierce Brown,Del Rey,544,"Fiction , Science Fiction , Action &amp, Adventure",English
340,Salvaged,Madeleine Roux,Penguin,368,"Fiction , Science Fiction , Action &amp, Adventure",English
951,We,Yevgeny Zamyatin,Pan,226,"Fiction , Science Fiction , Action &amp, Adventure",English
1178,Wedge's Gamble: Star Wars Legends (X-Wing),Michael A. Stackpole,Del Rey,368,"Fiction , Science Fiction , Action &amp, Adventure",English
587,The Weight of Honor (Kings and Sorcerers--Book 3),Morgan Rice,Morgan Rice,250,"Fiction , Science Fiction , General",English
957,Bring Me Back,B A Paris,HarperCollins UK,368,"Fiction , Thrillers , Crime",English
139,The Mysterious Affair at Styles,Agatha Christie,HarperCollins UK,208,"Fiction , Thrillers , Military",English
909,'Salem's Lot,Stephen King,Hachette UK,300,"Fiction , Thrillers , Supernatural",English
42,Battle Sight Zero,Gerald Seymour,Hachette UK,448,"Fiction , Thrillers , Suspense",English
368,Blood Runs Cold: A completely unputdownable mystery and suspense thriller,Dylan Young,Bookouture,350,"Fiction , Thrillers , Suspense",English
1047,Dark Matter: A Novel,Blake Crouch,Broadway Books,368,"Fiction , Thrillers , Suspense",English
450,Final Option,Clive Cussler,Penguin,400,"Fiction , Thrillers , Suspense",English
685,I Am Pilgrim: The bestselling Richard & Judy Book Club pick,Terry Hayes,Random House,704,"Fiction , Thrillers , Suspense",English
881,Maigret Goes to School,Georges Simenon,Penguin,176,"Fiction , Thrillers , Suspense",English
213,Once Missed (A Riley Paige Mystery—Book 16),Blake Pierce,Blake Pierce,250,"Fiction , Thrillers , Suspense",English
59,The Guardians: A Novel,John Grisham,Doubleday,384,"Fiction , Thrillers , Suspense",English
529,The Guardians: The explosive new thriller from international bestseller John Grisham,John Grisham,Hachette UK,384,"Fiction , Thrillers , Suspense",English
947,The Last Wife: An absolutely gripping and emotional page turner with a brilliant twist,Nicola Marsh,Bookouture,358,"Fiction , Women",English
472,"Blood, Sweat, and Pixels: The Triumphant, Turbulent Stories Behind How Video Games Are Made",Jason Schreier,HarperCollins,304,"Games &amp, Activities , Video &amp, Electronic",English
553,The Art of Super Mario Odyssey,Nintendo,Dark Horse Comics,368,"Games &amp, Activities , Video &amp, Electronic",English
633,The Art of War (The Classic Lionel Giles Translation),Sun Tzu,e-artnow,80,"History , Military , General",English
1198,On Tyranny: Twenty Lessons from the Twentieth Century,Timothy Snyder,Tim Duggan Books,128,"History , Modern , 20th Century",English
133,Legacy,Shannon Messenger,Simon and Schuster,816,"Juvenile Fiction , Fantasy &amp, Magic",English
1204,Dork Diaries: Spectacular Superstar,Rachel Renee Russell,Simon and Schuster,368,"Juvenile Fiction , General",English
729,Mega Man #1,Ian Flynn,Archie Comic Publications,25,"Juvenile Fiction , Humorous Stories",English
698,The Hitchhiker's Guide to the Galaxy: 42nd Anniversary Edition,Douglas Adams,Pan Macmillan,245,"Juvenile Fiction , Humorous Stories",English
623,"Tintinalli's Emergency Medicine: A Comprehensive Study Guide, 9th edition: Edition 9",Judith E. Tintinalli,McGraw Hill Professional,2192,"Medical , Internal Medicine",English
407,No One Is Too Small to Make a Difference,Greta Thunberg,Penguin,112,"Nature , Environmental Conservation &amp, Protection",English
303,The Complete Art of War,Sun Tzu,Simon and Schuster,667,"Political Science , Political Ideologies , General",English
554,PSYCHOANALYSIS FOR BEGINNERS: A General Introduction to Psychoanalysis & Dream Psychology,Sigmund Freud,e-artnow,160,"Psychology , Movements , Psychoanalysis",English
599,Why We Sleep: The New Science of Sleep and Dreams,Matthew Walker,Penguin UK,368,"Psychology , Neuropsychology",English
619,Captivate: The Science of Succeeding with People,Vanessa Van Edwards,Penguin,288,"Self-Help , Communication &amp, Social Skills",English
845,Working With You is Killing Me: Freeing Yourself from Emotional Traps at Work,Katherine Crowley,Hachette UK,256,"Self-Help , Communication &amp, Social Skills",English
1120,You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Jen Sincero,Hachette UK,256,"Self-Help , General",English
1182,Happy: Why More or Less Everything is Absolutely Fine,Derren Brown,Random House,576,"Self-Help , Personal Growth , General",English
321,The Art Of Seduction,Robert Greene,Profile Books,272,"Self-Help , Personal Growth , General",English
1163,"Awaken the Giant Within: How to Take Immediate Control of Your Mental, Emotional, Physical and Financial",Tony Robbins,Simon and Schuster,544,"Self-Help , Personal Growth , Success",English
462,One Small Step Can Change Your Life: The Kaizen Way,Robert Maurer,Workman Publishing,228,"Self-Help , Personal Growth , Success",English
544,The Secret,Rhonda Byrne,Simon and Schuster,216,"Self-Help , Personal Growth , Success",English
680,Getting Things Done: The Art of Stress-Free Productivity,David Allen,Penguin,352,"Self-Help , Self-Management , Time Management",English
1127,We Should All Be Feminists,Chimamanda Ngozi Adichie,Vintage,32,"Social Science , Gender Studies",English
914,Introducing Critical Theory: A Graphic Guide,Stuart Sim,Icon Books,176,"Social Science , General",English
